Stream         ,Species             ,Date       ,N,Biomass,95% CI
Glacier-fed  ,DollyVarden         ,2018-04-15,106,222.16,131.38 - 312.94
Glacier-fed  ,DollyVarden         ,2018-05-15,393,1457.72,862.04 - 2053.4
Glacier-fed  ,DollyVarden         ,2018-06-15,340,446.05,263.78 - 628.32
Glacier-fed  ,DollyVarden         ,2018-07-15,175,402.76,238.18 - 567.34
Glacier-fed  ,DollyVarden         ,2018-08-15,154,488.06,288.62 - 687.5
Glacier-fed  ,DollyVarden         ,2018-09-15,166,563.08,332.98 - 793.17
Glacier-fed  ,DollyVarden         ,2018-10-15,114,337.72,199.71 - 475.72
Glacier-fed  ,DollyVarden         ,2018-11-15,281,587.72,347.55 - 827.88
Glacier-fed  ,DollyVarden         ,2019-01-15,143,412.46,243.92 - 581.01
Glacier-fed  ,DollyVarden         ,2019-04-15,191,416.15,246.1 - 586.21
Glacier-fed  ,DollyVarden         ,2019-08-15,241,1656.07,979.34 - 2332.81
Glacier-fed  ,CohoJuvenile        ,2018-04-15,95,191.58,112.93 - 270.23
Glacier-fed  ,CohoJuvenile        ,2018-05-15,80,176.21,103.53 - 248.9
Glacier-fed  ,CohoJuvenile        ,2018-06-15,32,16.85,10.01 - 23.7
Glacier-fed  ,CohoJuvenile        ,2018-07-15,21,30.91,17.66 - 44.15
Glacier-fed  ,CohoJuvenile        ,2018-08-15,5,2.20,1.32 - 3.08
Glacier-fed  ,CohoJuvenile        ,2018-09-15,8,14.13,8.83 - 19.43
Glacier-fed  ,CohoJuvenile        ,2018-10-15,11,14.96,9.52 - 20.4
Glacier-fed  ,CohoJuvenile        ,2018-11-15,69,128.22,76.19 - 180.25
Glacier-fed  ,CohoJuvenile        ,2019-01-15,5,7.20,4.32 - 10.08
Glacier-fed  ,CohoJuvenile        ,2019-04-15,48,29.87,17.42 - 42.31
Glacier-fed  ,CohoJuvenile        ,2019-08-15,22,60.33,36.48 - 84.19
Glacier-fed  ,CutthroatJuvenile   ,2018-09-15,5,23.50,14.1 - 32.9
Glacier-fed  ,DollyVardenFry      ,2019-04-15,5,0.80,0.48 - 1.12
Glacier-fed  ,SculpinJuvenile     ,2018-05-15,5,4.10,2.46 - 5.74
Glacier-fed  ,SculpinJuvenile     ,2018-10-15,5,20.70,12.42 - 28.98
Glacier-fed  ,SculpinJuvenile     ,2018-11-15,11,15.67,9.97 - 21.37
Glacier-fed  ,SculpinJuvenile     ,2019-08-15,5,16.78,10.07 - 23.49
Glacier-fed  ,SteelheadJuvenile   ,2019-04-15,11,28.55,18.17 - 38.93
Transitional  ,Coastal Trout       ,2018-04-17,3,9.78,6.52 - 29.34
Transitional  ,Coho                ,2018-04-17,18,15.44,12.01 - 20.58
Transitional  ,DollyVarden         ,2018-04-17,17,11.39,8.04 - 18.76
Transitional  ,Sculpin             ,2018-04-17,21,21.93,15.66 - 35.51
Transitional  ,Coastal Trout       ,2018-05-18,3,11.43,7.62 - 22.86
Transitional  ,Coho                ,2018-05-18,54,40.88,32.55 - 55.26
Transitional  ,DollyVarden         ,2018-05-18,133,453.74,324.1 - 743.73
Transitional  ,Sculpin             ,2018-05-18,59,94.96,67.6 - 157.73
