"","Number","Site","Date","SampleID","SampCode","Dry.Mass..mg.","Ashed.Mass..mg.","AFDM","X750umb","X649umb","X665umb","X632umb","X696umb","X750uma","X649uma","X665uma","X632uma","X696uma","ChlorophyllA_insample","Area_cm2","Subsample.Volume..mL.","Percent.of.Whole.Sample","SubsampleArea_cm2","ChlA_Area_Main","Chlorophyll_bcd_insample","Chla_Pheophytincorrected","Pheophhytin_inSample","Chl_all_area","ChlA_PhCor_area","Ph_area","X","ChlA_Area_Parsons84","Phaeophytin_Area_Parsons84","ChlA_Area_Marker1980","X.1","Comment"
"1",2,"Herbert",2018-04-19,"Peri_03","Herbert43209Peri_03",79.36,73.03,6.33,0.0108,0.0126,0.0132,0.0117,0.0111,0.0026,0.0037,0.0042,0.003,0.0024,1.5708,362.881,30,0.03,10.88643,"0.144289726",0.99864,2.5596,0.85974,0.091732551,0.2351184,0.078973548,NA,"0.240657406","-0.162042653","0.011674534",NA,""
"2",1,"Herbert",2018-04-19,"Peri_04","Herbert43209Peri_04",76.89,71.94,4.95,0.0102,0.0112,0.0121,0.0108,0.0108,0.0018,0.0016,0.0024,0.0014,0.0013,1.4399,257.54,30,0.03,7.7262,"0.186365872",0.92041,2.75868,0.49128,0.11912842,0.357055215,0.063586239,NA,"0.365466853","-0.302169501","0.015984184",NA,""
"3",3,"Herbert",2018-05-15,"Peri_01","Herbert43235Peri_01",97.15,95.48,1.67,0.0117,0.0124,0.0123,0.0123,0.0123,0.0035,0.0036,0.0036,0.0036,0.0032,1.4637,196.463,80,0.08,15.71704,"0.093128223",0.86755,2.47428,0.73692,0.055198053,0.157426589,0.046886691,NA,"0.161135303","-0.114461629","0.006713223",NA,""
"4",4,"Herbert",2018-05-15,"Peri_04","Herbert43235Peri_04",98.14,97.04,1.1,0.0129,0.0136,0.0136,0.0136,0.0138,0.0025,0.0029,0.003,0.0029,0.0025,1.6184,102.977,120,0.12,12.35724,"0.130967757",0.96076,3.01464,0.6141,0.077748753,0.243957389,0.049695563,NA,"0.249704627","-0.200234842","0.010770123",NA,""
"5",5,"Herbert",2018-06-14,"Peri_03","Herbert43265Peri_03",115.23,113.7,1.53,0.0157,0.0186,0.0207,0.018,0.018,0.0042,0.0061,0.0076,0.0054,0.005,2.4633,144.391,400,0.4,57.7564,"0.042649819",1.60791,3.72564,1.55572,0.027839512,0.064506098,0.026935889,NA,"0.066025756","-0.039212243","0.003425335",NA,""
"6",6,"Herbert",2018-06-14,"Peri_04","Herbert43265Peri_04",117.17,114.21,2.96,0.0122,0.014,0.0103,0.0082,0.0081,0.0155,0.0154,0.006,0.0041,0.0035,1.2257,122.49,300,0.3,36.747,"0.033355104",0.60005,1.22292,1.2282,0.016329224,0.033279451,0.033423137,NA,"0.034063461","-0.000792174","-0.001696683",NA,""
"7",8,"Herbert",2018-07-12,"Peri_03","Herbert43293Peri_03",116.49,113.21,3.28,0.0055,0.0163,0.0215,0.013,0.0084,0.011,0.0216,0.0274,0.0182,0.006,2.5585,322.871,70,0.07,22.60097,"0.113203106",1.98223,-1.67796,5.60878,0.087705528,-0.074242831,0.248165455,NA,"-0.075991871","0.323029852","0.005570336",NA,""
"8",7,"Herbert",2018-07-12,"Peri_04","Herbert43293Peri_04",177.11,176.6,0.51,0.00109,0.0251,0.0164,0.009,0.0061,0.0093,0.0205,0.024,0.0245,0.0105,1.9516,253.804,240,0.24,60.91296,"0.032039159",0.9443,-2.16144,4.9128,0.015502448,-0.035484074,0.080652787,NA,"-0.036320021","0.116606384","0.001397552",NA,""
"9",10,"Herbert",2018-08-16,"Peri_01","Herbert43328Peri_01",81.31,79.76,1.55,0.0112,0.0175,0.0241,0.0169,0.0154,0.0044,0.0081,0.0118,0.007,0.0046,2.8679,246.529,120,0.12,29.58348,"0.096942618",2.15407,3.49812,2.41546,0.072813273,0.118245724,0.081648947,NA,"0.1210314","-0.039753403","0.007984287",NA,""
"10",9,"Herbert",2018-08-16,"Peri_05","Herbert43328Peri_05",72.1,71.39,0.71,0.0065,0.0082,0.0093,0.0081,0.0076,0.0026,0.0034,0.0042,0.003,0.0024,1.1067,112.81,120,0.12,13.5372,"0.081752504",0.73795,1.45044,0.85974,0.05451275,0.107144757,0.063509441,NA,"0.109668912","-0.04644801","0.00593424",NA,""
