Variable,SampleType,Synchrony,Glacial,Label
Turbidity,Background,0.7582266701141923,No Glacial,Turbidity
TDP,Background,0.30645808962477056,No Glacial,TDP
DOC,Background,0.8748693912011831,No Glacial,DOC
TDN,Background,0.2927731105124319,No Glacial,TDN
Peri. ChlA,Periphyton,0.6224672502434451,No Glacial,Peri. ChlA
Peri. Biom,Periphyton,0.5238762801212327,No Glacial,Peri. Biom
Invert. Biomass,Invertebrate,0.7584875746386773,No Glacial,Invert. Biomass
Invert. Abun.,Invertebrate,0.7166654880715757,No Glacial,Invert. Abun.
Temp,Background,0.980687410396275,No Glacial,Temp
Runoff,Background,0.675317752400037,No Glacial,Runoff
Detr. Biom,Detritus,0.5662845377544476,No Glacial,Detr. Biom
         Scraper Biomass,Scraper,0.3710225494156607,No Glacial,         Scraper Biomass
Pred. Biomass,Predator,0.6356211242726565,No Glacial,Pred. Biomass
Col.Gather Biomass,Collector/Gatherer,0.2616978374087196,No Glacial,Col.Gather Biomass
Col.Filter Biomass,Collector/Filterer,0.527770488637337,No Glacial,Col.Filter Biomass
Shred. Biomass,Shredder,0.34793800986774587,No Glacial,Shred. Biomass
Turbidity,Background,0.9535867877718421,No Snow,Turbidity
TDP,Background,0.5776716015150996,No Snow,TDP
DOC,Background,0.5378761799825114,No Snow,DOC
TDN,Background,0.21566409643492224,No Snow,TDN
Peri. ChlA,Periphyton,0.49498807361336683,No Snow,Peri. ChlA
Peri. Biom,Periphyton,0.42689674788504284,No Snow,Peri. Biom
Invert. Biomass,Invertebrate,0.39798986885662363,No Snow,Invert. Biomass
Invert. Abun.,Invertebrate,0.3667520387276076,No Snow,Invert. Abun.
Temp,Background,0.484193562867183,No Snow,Temp
Runoff,Background,0.5421031565382997,No Snow,Runoff
Detr. Biom,Detritus,0.4444018992021467,No Snow,Detr. Biom
         Scraper Biomass,Scraper,0.2921128481580975,No Snow,         Scraper Biomass
Pred. Biomass,Predator,0.685621230895266,No Snow,Pred. Biomass
Col.Gather Biomass,Collector/Gatherer,0.25433348595779703,No Snow,Col.Gather Biomass
Col.Filter Biomass,Collector/Filterer,0.11078421754478623,No Snow,Col.Filter Biomass
Shred. Biomass,Shredder,0.4870841333198227,No Snow,Shred. Biomass
Turbidity,Background,0.7657942131634301,No Rain,Turbidity
TDP,Background,0.5468779676066341,No Rain,TDP
