"","Combination","CV_C_L","CV_C_R","CV_S_L","CV_S_R","phi_C_L2R","phi_S_L2R","phi_S2C_L","phi_S2C_R","combo_type","cv_diff","taxa"
"1","Glacier-fed_Glacier-fed_Glacier-fed",0.650439320353686,0.650439320353686,0.741503928336739,0.741503928336739,1,1,0.877189311474965,0.877189311474966,"Homogenous",0,"fish"
"2","Glacier-fed_Glacier-fed_Rain-fed",0.663750471643056,0.523847828552623,0.774296609774277,0.768205021592409,0.789224039654366,0.992132745894828,0.857230243893942,0.681911486944906,"2:1",0.139902643090433,"fish"
"3","Glacier-fed_Glacier-fed_Snow-fed",0.70350920095979,0.54860712523224,0.789451568031001,0.730646321962262,0.779815138855015,0.925511268265123,0.891136618696492,0.750851826310261,"2:1",0.154902075727551,"fish"
"4","Glacier-fed_Rain-fed_Rain-fed",0.683734374092607,0.455651375866735,0.82352794466492,0.809921925446334,0.666415779477865,0.98347837580166,0.83025036189975,0.56258678960399,"2:1",0.228082998225872,"fish"
"5","Glacier-fed_Rain-fed_Snow-fed",0.737445792026212,0.360234812606034,0.849541662940303,0.692874451048074,0.488489888343183,0.815586193442242,0.86805135544957,0.519913545752952,"Heterogenous",0.377210979420178,"fish"
"6","Glacier-fed_Snow-fed_Snow-fed",0.807655748119188,0.47620024006865,0.883546015984706,0.729627471566999,0.589607937760105,0.825794535165024,0.914107169867165,0.652662157917284,"2:1",0.331455508050539,"fish"
"7","Rain-fed_Rain-fed_Rain-fed",0.717086758415005,0.717086758415005,0.905693197729107,0.905693197729107,1,1,0.79175460322877,0.79175460322877,"Homogenous",-1.11022302462516e-16,"fish"
"8","Rain-fed_Rain-fed_Snow-fed",0.79830617852184,0.544589500371204,0.957304590382877,0.760489827960614,0.682181242013656,0.794407376294366,0.833910321272517,0.71610359579906,"2:1",0.253716678150636,"fish"
"9","Rain-fed_Snow-fed_Snow-fed",0.916630747172115,0.571019369939903,1.03249468365323,0.7958322212507,0.622954632169548,0.770785781128518,0.887782534558761,0.717512252824483,"2:1",0.345611377232213,"fish"
"10","Snow-fed_Snow-fed_Snow-fed",1.10501549896387,1.10501549896387,1.15220496208071,1.15220496208071,1,1,0.959044211169148,0.959044211169148,"Homogenous",2.22044604925031e-16,"fish"
