"","Combination","CV_C_L","CV_C_R","CV_S_L","CV_S_R","mean_metacom","phi_C_L2R","phi_S_L2R","phi_S2C_L","phi_S2C_R","sd_metacom","combo_type","cv_diff","taxa"
"1","Glacier-fed_Glacier-fed_Glacier-fed",1.01890528175832,1.01890528175832,1.28091612908546,1.28091612908546,443.70281679375,1,1,0.795450426942305,0.795450426942306,452.091143562194,"Homogenous",2.22044604925031e-16,"inverts"
"2","Glacier-fed_Glacier-fed_Rain-fed",0.62565214047463,0.600079970509562,1.07055536307968,1.00147936704,1057.08353197138,0.959127175772676,0.935476484055001,0.584418295448831,0.599193543330975,634.334654691532,"2:1",0.0255721699650685,"inverts"
"3","Glacier-fed_Glacier-fed_Snow-fed",0.829391718855264,0.775754298988559,1.11852082812266,1.03109972629122,1162.24610654875,0.935329207360864,0.921842222662789,0.741507621496262,0.752356226277825,901.617413637906,"2:1",0.0536374198667052,"inverts"
"4","Glacier-fed_Rain-fed_Rain-fed",0.521197629222229,0.509013878817498,1.01468007896093,0.985191172226123,1670.46424714902,0.976623549836725,0.97093772968815,0.51365710240015,0.516665083049149,850.289485867275,"2:1",0.0121837504047303,"inverts"
"5","Glacier-fed_Rain-fed_Snow-fed",0.660742850110134,0.599591548518793,1.04938538019549,0.925428591076283,1775.62682172638,0.907450679820223,0.881876771433468,0.629647470395521,0.647906877203202,1064.65083563043,"Heterogenous",0.061151301591341,"inverts"
"6","Glacier-fed_Snow-fed_Snow-fed",0.784682990782914,0.763446090872963,1.08020965271255,1.0472699115231,1880.78939630375,0.972935694848232,0.969506159191657,0.726417310577134,0.728986942595,1435.88131236341,"2:1",0.0212368999099511,"inverts"
"7","Rain-fed_Rain-fed_Rain-fed",0.472850589249538,0.472850589249539,0.988818059576758,0.988818059576758,2283.84496232665,1,1,0.478197768204124,0.478197768204125,1079.91743619075,"Homogenous",-2.22044604925031e-16,"inverts"
"8","Rain-fed_Rain-fed_Snow-fed",0.578695603274365,0.52559642986623,1.01575116015365,0.933415654250885,2389.00753690402,0.908243343983107,0.918941263241769,0.569721823588001,0.563089366963798,1255.65383232027,"2:1",0.0530991734081344,"inverts"
"9","Rain-fed_Snow-fed_Snow-fed",0.6756150559433,0.634554278523477,1.04041308108246,0.941606837172389,2494.17011148138,0.939224596819423,0.905031717010638,0.649371935270536,0.67390576775018,1582.68631560589,"2:1",0.0410607774198223,"inverts"
"10","Snow-fed_Snow-fed_Snow-fed",0.764692265698152,0.764692265698152,1.0630794813049,1.0630794813049,2599.33268605874,1,1,0.719318055842366,0.719318055842366,1987.68960100552,"Homogenous",2.22044604925031e-16,"inverts"
